codigo_pro,nom_proyec,nom_abrev,programa,presupuest,nom_donant,nom_cordin,mar_genero,num_comuni,num_person,accion_ods,accion_gen,tipo_socio,nom_socio,agen_onu,otros_soci,ods
pnud_cr_21,Gran Ecosistema Marino Costero del Pac├¡fico Centroamericano (PACA).,PACA,"Naturaleza, Clima y Energia",7147209,Fondo Mundial para el Ambiente (GEF),,GEN2,0,4000,,,Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Organizaciones de la sociedad civil;Organismos internacionales,"Ministerio de Ambiente y Energ├¡a de Costa Rica (MINAE), Federaci├│n Costarricense de Pesca (FECOP),Instituto Costarricense de Pesca y Acuicultura (INCOPESCA)",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"10,13,14,17"
pnud_cr_20,Proyecto Gesti├│n Integrada de Recurso H├¡drico de la Cuenca Binacional del R├¡o Sixaola,Cuenca Binacional del Rio Sixaola,"Naturaleza, Clima y Energia",4386210,Fondo Mundial para el Ambiente (GEF),,GEN2,0,485172,,,Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Gobiernos locales;Organizaciones de la sociedad civil;Organismos internacionales,"Ministerio de Ambiente; Municipal de Changuinola, Municipalidad de Talamanca; OET; CNE; AyA ;Sistema National de Protecci├│n Civil (SINAPROC)",Organizaci├│n de Estudios Tropicales (OET),Sin dato,"6, 14"
pnud_cr_07,Programa Conjunto Fortalecimiento Estrategia Puente al Desarrollo,Programa Conjunto ,Desarrollo Humano y Gobernabilidad Democratica,8560000,Coordinaci├│n de la Oficina de la Coordinaci├│n Residente,Sof├¡a Salas,GEN3,3,225,,"Fortalecer las capacidades Institucionales para la atenci├│n de mujeres emprendedoras en condici├│n de pobreza;Fortalecimiento de la Estrategia Puente al Desarrollo para romper el ciclo de pobreza a nivel local, con perspectiva de g├®nero y ambienta",Ministerios o entidades adscritas;Instituciones aut├│nomas;Gobiernos locales;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales; actores sociales y privados,"Miembros Comit├® Directivo del PC:  IMAS, INAMU, MTSS, MAG e MIDEPLAN, componentes Agro (MAG, INDER), Bienestar (IMAS, INAMU, CCSS, MIVAH, MIN SALUD, MEP, etc)  y  Trabajo (INA, MEIC, MTSS, MEP, IMAS).",Coordinaci├│n de la OCR: FAO;OIT;ONU Mujeres;PNUD,"Fundecooperaci├│n, ACRxS y tambi├®n con ONGs como Fundaci├│n Mujer, entre otros actores",1; 5; 8; 10
pnud_cr_05,Transici├│n hacia una econom├¡a verde urbana y beneficios ambientales globales,GEF 7,"Naturaleza, Clima y Energia",10000000,GEF,,GEN2,0,2134932,,El proyecto cuenta con un Plan de G├®nero que envuelve las diferentes acciones para buscar la participaci├│n y beneficios del proyecto a las mujere,Poder Legislativo;Ministerios;Instituciones;Gobiernos locales;Empresas p├║blicas;Empresas privadas;Universidades p├║blicas;Organizaciones de la sociedad civil;Organismos internacionales;,"20 municipalidades de cantones involucrados; UNGL; ANA;Asamblea Legislativa; MINAE;MIVAH; DINADECO;AYA, INVU, IFAm; Otros",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"11,13"
pnud_cr_09,Estrategia Nacional de Distritos de Frio en Costa Rica para Mejorar la Eficiencia Energ├®tica y Reducir las Emisiones de Efecto Invernadero (DFCR),DFCR,"Naturaleza, Clima y Energia",509140,Kigali Cooling Efficiency Fund (K-CEF),Rodolfo Elizondo Hern├índez,GEN0,2,0,,,Instituciones aut├│nomas o adscritas;Gobiernos locales;Empresas p├║blicas estatales;Empresas privadas;Universidades p├║blicas,ICE; MSJ; AERIS Holding; Concesionaria del Aeropuerto Juan Santa Mar├¡a;CCSS;UCR;TEC;UTN;Profesionales Liberales,Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"12, 7,15"
pnud_cr_06,Programa de Peque├▒as Donaciones,PPD,"Naturaleza, Clima y Energia",2081945,GEF,Charles Dixon Gray,GEN2,80,2700,,La igualdad de g├®nero y el empoderamiento de las mujeres son objetivos cr├¡ticos del Programa De Peque├▒as Donaciones (Ppd) a nivel global y local,Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Gobiernos locales;Universidades p├║blicas;Empresas privadas;Organizaciones de la sociedad civil;Organismos internacionales,"CADETI, MINAE, SINAC, MAG, INA, UNA, UNED, UCR, UTN, INDER, INAMU, AyA, GIZ, Gobiernos locales, Organizaciones de base comunitaria, ONG socioambientalistas",Programa de las Naciones Unidad para el Desarrollo (PNUD),"GIZ, habitat para la Humanidad, CRUSA, IICA",1;13;15
pnud_cr_02,Costas Circulares,Costas circulares,"Naturaleza, Clima y Energia",173195,CRUSA,Juan Carlos Pi├▒ar Alvarado,GEN3,0,120,"Fomentar la recuperaci├│n de materiales pl├ísticos recolectados en el medio ambiente (mar, playa, r├¡os); Elaborar la Estrategia Nacional para sustituir el consumo de pl├ístico",El proyecto promueve la participaci├│n de las mujeres en todas las actividades del proyecto; Busca el desarrollo de nuevas capacidades en una poblaci├│n en riesgo social y altamente afectada por el cambio clim├ítico y la pandemia Covid19.,Ministerios o entidades adscritas;Instituciones aut├│nomas o adscrita,Instituto Costarricense de Puertos del Pac├¡fico  (INCOP);  Parque Marino del Pac├¡fico (PMP),Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,14
pnud_cr_04,Paisajes Productivos,Paisajes Productivos,"Naturaleza, Clima y Energia",6699315,GEF,Miriam Miranda Quir├│s,GEN2,50,10000,Acciones en adaptaci├│n al cambio clim├ítico; ciudades sostenibles; monitoreo de la biodiversidad; impulsar la igual de g├®nero; monitoreo de la deforestaci├│n del pa├¡s,esarrollar un activo accionar en cada actividad para incorporar a las mujeres en la implementaci├│n de las mismas para que el beneficio sea directa,"Gobiernos locales , Organizaciones de la sociedad civil , Ministerios o entidades adscritas","MINAE-SINAC, Municipalidades de La Uni├│n, Curridabat, Montes de Oca, Alajuelita y San Jos├®, INVU",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,"5,6,11,12,15"
pnud_cr_03,Proyecto ASADAS,ASADAS,"Naturaleza, Clima y Energia",5000000,GEF,Gerardo Quir├│s Cuadra,GEN2,200,150000,adaptaci├│n al cambio clim├ítico; gesti├│n empresarial y administrativa de los acueductos comunitarios; pol├¡ticas para dise├▒o de estrategias e inversiones en infraestructura para el abastecimiento de agua a las comunidades rurales,"Promover acceso paritario en un sector en donde las mujeres, a pesar de participar activamente,  tienen poco acceso a los espacios de toma de direcci├│n y de toma de decisi├│n, y visibilizar los aportes de las mujeres en la gesti├│n comunitaria del agua.",Instituciones aut├│nomas o adscritas;Gobiernos locales;Universidades p├║blicas;Ministerios o entidades adscritas;Entes p├║blicos no estatales;Organizaciones de la sociedad civil;,"Ministerios: Salud, Ambiente (Instituto Meteorol├│gico, Direcci├│n del Agua, Direcci├│n Cambio Clim├ítico), Agricultura y Ganader├¡a,",Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,6
pnud_cr_13,Cuarta Comunicaci├│n Nacional y Segundo Reporte Bienal de Actualizaci├│n,Cuarta Comunicación Nacional,"Naturaleza, Clima y Energia",852000,Global Environment Fund Truste,Rolando Fern├índez,GEN1,0,5075000,,El Proyecto ayudar├í a mejorar la igualdad de g├®nero y el empoderamiento de las mujeres asegur├índose de que involucre a organizaciones de mujeres y ONG y CBO lideradas por mujeres para proporcionar informaci├│n y aportes para el desarrollo.,Ministerios;Instituciones aut├│nomas;Empresas p├║blicas y privadas;Universidades p├║blicas;Organizaciones gremiales;Organismos internacionales;Instituciones semiaut├│noma;Empresas p├║blicas estatales;otros,MAG; MINAE; MIDEPLAN; ICE; AYA; UCR; UNA;RITEVE; Registro Nacional de la Propiedad; Sector Privado Industrial; FONAFIFO; IMN; DCC; ICT; INEC; MEP; SEPLASA; SEPSE; INTA,Programa de las Naciones Unidad para el Desarrollo (PNUD),Sin dato,13
