codigo_pro;nom_proyec;nom_abrev;programa;presupuest;nom_donant;nom_cordin;mar_genero;num_comuni;num_person;accion_ods;accion_gen;tipo_socio;nom_socio;agen_onu;otros_soci;ods
pnud_cr_18;Atlas de Desarrollo Humano Cantonal;Atlas IDH;Desarrollo Humano y Gobernabilidad Democratica;0;Programa de Naciones Unidas para el Desarrollo (PNUD);Paola Omodeo;GEN2;0;0.0;;;Universidades p├║blicas;Escuela de Estad├¡stica de la Universidad de Costa Rica (UCR);Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;1,10,17
pnud_cr_08;Sistema de Registros Administrativos de Gesti├│n Cultural;Registros Cultural;Desarrollo Humano y Gobernabilidad Democratica;109 163,00;Gobierno de Costa Rica;Paola Omodeo Cubero;GEN2;0;0.0;;;Ministerios o entidades adscritas;"MCJ, Direcci├│n Cultura;Direcci├│n Bandas; SINABI;CPAC;Centro de Patrimonio; SINEM;Centro de Cine;Teatro Popular Melico Salazary Nacional;Archivo Nacional;CPJ; INM;Centro Cultural e Hist├│rico Jos├® Figueres Ferrer;Parque La Libertad;Museos";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;17
pnud_cr_19;Construyendo una ruta com├║n al 2030;Hacia una ruta común 2030;Desarrollo Humano y Gobernabilidad Democratica;138 000,00;Programa de Naciones Unidas para el Desarrollo (PNUD);;GEN2;0;0.0;;;"Universidades p├║blicas;Instituciones aut├│nomas o adscritas;";"CINPE;FLACSO;IDESPO,OdD; Escuela de Estad├¡stica UCR";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;8, 16, 17
pnud_cr_02;Costas Circulares;Costas circulares;Naturaleza, Clima y Energia;173 195,00;CRUSA;Juan Carlos Pi├▒ar Alvarado;GEN3;0;120.0;"Fomentar la recuperaci├│n de materiales pl├ísticos recolectados en el medio ambiente (mar, playa, r├¡os); Elaborar la Estrategia Nacional para sustituir el consumo de pl├ístico";"El proyecto promueve la participaci├│n de las mujeres en todas las actividades del proyecto; Busca el desarrollo de nuevas capacidades en una poblaci├│n en riesgo social y altamente afectada por el cambio clim├ítico y la pandemia Covid19.";"Ministerios o entidades adscritas;Instituciones aut├│nomas o adscrita";"Instituto Costarricense de Puertos del Pac├¡fico  (INCOP);  Parque Marino del Pac├¡fico (PMP)";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;14
pnud_cr_15;Fortalecimiento Institucional de la Oficina T├®cnica del Ozono;Oficina Técnica del Ozono;Naturaleza, Clima y Energia;195 000,00;Comisi├│n Gubernamental de Ozono;Mar├¡a del Pilar Alfaro Monge;GEN1;0;225.0;;Desde hace un par de a├▒os hemos tratado de propiciar la participaci├│n de la mujer, se ha integrado el lenguaje inclusivo y rechazamos cualquier tipo de desigualdad en el marco del proyecto.;"Tribunal Supremo de Elecciones;Ministerios;Instituciones aut├│nomas;Empresas privadas y p├║blicas;Universidades p├║blicas y privadas;Organizaciones de la sociedad civil;Gobiernos locales;Entes p├║blicos no estatales";"Ministerio de Hacienda, Salud, Ambiente y Energ├¡a; Universidades estatales y las empresas del sector privado que cuentan con sistemas RAC";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;12,13
pnud_cr_12;Infosegura;Infosegura;Desarrollo Humano y Gobernabilidad Democratica;199 000,00;USAID;Randall Brenes;GEN2;0;2700.0;;Generaci├│n y an├ílisis especializado de evidencia emp├¡rica sobre diversas manifestaciones de violencia que afectan a las mujeres, aplicando diversos criterios de desagregaci├│n y promoviendo la adopci├│n de pol├¡ticas y medidas para prevenirla y atende;"Poder Judicial;Ministerios o entidades adscritas;Instituciones aut├│nomas o adscritas;Instituciones semiaut├│noma;Organismos internacionales;Universidades p├║blica";Ministerio de Justicia y Paz, Ministerio de Seguridad, COMESCO, INEC, OIJ, ICD, Poder Judicial, Direcci├│n General de Adaptaci├│n Social, Programa Estado de la Naci├│n;Programa de las Naciones Unidad para el Desarrollo (PNUD);USAID;5, 16 , 17
pnud_cr_11;Eliminaci├│n sostenible y respetuosa con el clima de las sustancias que agotan el ozono (SPODS);SPODS;Naturaleza, Clima y Energia;326 513,00;Uni├│n Europea;Rodolfo Elizondo Hern├índez;GEN1;0;4000.0;;El ├írea en la que se desarrolla el proyecto es limitada para enfocar esfuerzos en contribuir al empoderamiento de las mujeres, en igualdad de genero rescatamos que los integrantes del proyecto se dividen en 50% hombres y 50% mujeres;Ministerios o entidades adscritas;Direcci├│n de Gesti├│n de Calidad Ambiental (DIGECA) que pertenece al MINAE;Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;12, 15
pnud_cr_01;Estrategia Nacional para la sustituci├│n de pl├ísticos de un solo uso;Plásticos de Un Solo Uso;Naturaleza, Clima y Energia;500 000,00;CRUSA;Juan Carlos Pi├▒ar Alvarado;GEN1;0;10000.0;;El proyecto se plante├│ desde su inicio como t├®cnico y de aplicaci├│n general a toda la poblaci├│n, por lo que no se incluye dentro de sus alcances el tema de g├®ner;"Ministerios o entidades adscritas;Organizaciones de la sociedad civil";Ministerio de Ambiente y Energ├¡a, Ministerio de Salud;Programa de las Naciones Unidad para el Desarrollo (PNUD);Fundaci├│n Costa Rica Estados Unidos para la Cooperaci├│n;12, 13
pnud_cr_09;Estrategia Nacional de Distritos de Frio en Costa Rica para Mejorar la Eficiencia Energ├®tica y Reducir las Emisiones de Efecto Invernadero (DFCR);DFCR;Naturaleza, Clima y Energia;509 140,00;Kigali Cooling Efficiency Fund (K-CEF);Rodolfo Elizondo Hern├índez;GEN0;2;150000.0;;;"Instituciones aut├│nomas o adscritas;Gobiernos locales;Empresas p├║blicas estatales;Empresas privadas;Universidades p├║blicas";"ICE; MSJ; AERIS Holding; Concesionaria del Aeropuerto Juan Santa Mar├¡a;CCSS;UCR;TEC;UTN;Profesionales Liberales";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;12, 7,15
pnud_cr_13;Cuarta Comunicaci├│n Nacional y Segundo Reporte Bienal de Actualizaci├│n;Cuarta Comunicación Nacional;Naturaleza, Clima y Energia;852 000,00;Global Environment Fund Truste;Rolando Fern├índez;GEN1;0;485172.0;;El Proyecto ayudar├í a mejorar la igualdad de g├®nero y el empoderamiento de las mujeres asegur├índose de que involucre a organizaciones de mujeres y ONG y CBO lideradas por mujeres para proporcionar informaci├│n y aportes para el desarrollo.;"Ministerios;Instituciones aut├│nomas;Empresas p├║blicas y privadas;Universidades p├║blicas;Organizaciones gremiales;Organismos internacionales;Instituciones semiaut├│noma;Empresas p├║blicas estatales;otros";"MAG; MINAE; MIDEPLAN; ICE; AYA; UCR; UNA;RITEVE; Registro Nacional de la Propiedad; Sector Privado Industrial; FONAFIFO; IMN; DCC; ICT; INEC; MEP; SEPLASA; SEPSE; INTA";Programa de las Naciones Unidad para el Desarrollo (PNUD);Sin dato;13
